phase,step,category,method,why,substitution
0 Frame,KPI semantic contract,business_rules,Declarative YAML contract,"A metric definition is a governance artefact, not something to infer. Learning what 'revenue' means would be both wrong and unauditable.",
0 Frame,Causal DAG,business_rules,"Curated, human-approved edge list","Structure-learning algorithms (PC, NOTEARS) may PROPOSE edges, but a causal graph asserted from observational business data is indefensible. The graph is curated; discovery would only suggest.",Production adds PC-algorithm edge proposals for human review.
1 Sense,Multi-source grain reconciliation,deterministic,Contract-driven aggregation (sum vs weighted mean by declared weight column),"Ratio KPIs must be weighted, never plain-averaged. This is arithmetic, not inference; making it statistical would add noise to an identity.",
1 Sense,Freshness and lineage stamping,deterministic,Ingest-time metadata propagation,Enables a claim to be REFUSED on staleness grounds. No model needed.,
2 Detect,Baseline expectation,statistics,"Trend + annual Fourier harmonics, ridge-fitted, event window held out",Comparing to last week confuses seasonality with news. No AR term: an AR baseline absorbs a sustained level shift within one step and reports no anomaly - the commonest way a detector misses a real regime change.,"Production: pooled Temporal Fusion Transformer across slices, which also yields the donor-similarity matrix for S4."
2 Detect,Prediction intervals,statistics,Split conformal + Adaptive Conformal Inference,"Distribution-free coverage without assuming Gaussian, homoscedastic residuals. ACI chosen over EnbPI/SPCI on published benchmark evidence that ACI attains nominal coverage where those under-cover; it is also far cheaper (no bootstrap ensemble).",
2 Detect,Ranking p-value,statistics,Peaks-over-threshold GPD tail extrapolation,"Conformal p-values are floored at 1/(n+1) (~0.016 here), so no finding could ever clear a BH threshold across ~1,700 tests - multiplicity control would be vacuous. The conformal INTERVAL remains the decision boundary; EVT supplies a p-value that can go small.",
2 Detect,Multiplicity control,statistics,Benjamini-Hochberg FDR,"~1,700 simultaneous tests at alpha=0.05 manufacture ~85 false alarms by construction. FDR is the right error rate for a ranked worklist; family-wise control would be far too conservative here.",
2 Detect,Materiality,business_rules,Statistical significance AND contract business-impact floor,"A statistically bulletproof Rs 40,000 deviation is not material. Ranking by p-value alone is the classic failure of automated anomaly detection.",
3 Localise,Dimension attribution,statistics,Exact Shapley over 2^4 coalitions,"Region, product, channel and segment overlap; the same rupee of shortfall sits inside several at once. Shapley is the unique attribution with efficiency + symmetry + null-player, so credit is assigned once. Exact enumeration - no sampling error to defend.",
3 Localise,Price-volume-mix bridge,deterministic,Accounting identity,revenue = units x ASP is exact by definition. Modelling it would add noise to something that is true.,
3 Localise,Funnel split,deterministic,net = gross x (1 - cancel rate),Separates 'fewer people ordered' from 'people ordered then walked away'. Different remedies; no aggregate KPI distinguishes them.,
4 Hypothesise,Topic discovery on ticket text,traditional_ml,TF-IDF + KMeans + top-term naming,"Unsupervised recovery of complaint themes, then a spike test inside the affected slice and window. Topics are mapped to DISTINCT causal-DAG nodes - mapping them all to one node lets an unrelated cluster inherit the real cause's signal.","Production: BERTopic (embeddings -> UMAP -> HDBSCAN -> c-TF-IDF), which separates short templated text far better."
4 Hypothesise,Ontology filter,business_rules,Reachability query on the approved DAG,A spike in app-crash tickets is real but has no declared path to revenue. Filtering here stops the causal tests from ever running on it.,
5 Prosecute,Temporal precedence,causal_inference,Out-of-control onset detection vs event date,"If the effect began before the cause, the candidate is dead regardless of correlation strength. Cheapest test, so it runs first. Note: global binary segmentation is the WRONG tool - it returns the most balanced split, not the most recent onset.",
5 Prosecute,Difference-in-differences,causal_inference,Two-way fixed effects + parallel-trends check,"Differences out both unit-level levels and shocks common to all units. Parallel trends is CHECKED on the pre-period, not assumed.",Production: DoWhy / EconML for heterogeneous effects.
5 Prosecute,Synthetic control,causal_inference,"Abadie SCM, non-negative weights summing to 1",Builds a counterfactual that tracks the treated unit pre-event. Convex weights prevent extrapolation outside the donor hull.,Production: CausalImpact (Bayesian structural time series) for posterior intervals.
5 Prosecute,Placebo inference,causal_inference,Permutation over donor units,"Exact permutation p-value AND the placebo-in-space refuter in one pass. If untreated units show comparable gaps, there is nothing to explain.",
5 Prosecute,Refutation suite,causal_inference,"Placebo-in-time, random common cause, leave-donors-out, dose-response",The engine attacks its own finding before shipping it. This is the layer that separates a causal claim from a correlation.,"Production: DoWhy's built-in refuters, same tests."
6-7 Decide,Constraint-state value function,deterministic,V(S) with prerequisite gating,Actions have no intrinsic value; constraint STATES do. Redundancy (union not sum) and complementarity (gated to zero) fall out of the definition instead of being special-cased.,
6-7 Decide,Portfolio selection,optimisation,Exhaustive enumeration cross-checked against MILP (PuLP/CBC),Exhaustive is exact and fully transparent at this size; the MILP is the scalable path. Running both and asserting agreement is a cheap correctness check on the model itself.,Production: contextual bandit with knapsack constraints for the sequential budget problem.
6-7 Decide,Decision rights,business_rules,Authority-level filter on the lever catalogue,A persona is only offered levers it can actually authorise; the rest are routed to their owners.,
8 Narrate,Prose generation,llm,Templated renderer (LLM behind the same interface),The ONLY generative step. It receives a finished evidence object and does no arithmetic and no retrieval.,"Production: frontier LLM, low temperature, schema-constrained. Prototype defaults to templates for reproducibility."
8 Narrate,Numeric grounding validator,deterministic,Numeral extraction + set membership check,"Every number in the output must exist in the evidence object or the artefact is blocked. ~40 lines; closes the hallucinated-statistic failure mode. Lives in the validator, not the prompt, so swapping renderers cannot weaken it.",Production adds an NLI entailment check (AlignScore/SummaC) for non-numeric claims.
8 Narrate,Row-level security,business_rules,Evidence-level scrub before rendering,Filtering the query alone is insufficient - comparison regions and donor weights carry other units' figures into the evidence object.,
9 Learn,Abstention policy,business_rules,Enumerated triggers with discriminating tests,"Abstention is a policy with defined conditions, not a fallback. Each refusal names the data that would resolve it.",
9 Learn,Calibration tracking,statistics,Empirical coverage on out-of-sample residuals,"Calibration is demonstrated, not asserted. In-sample residuals would make the coverage guarantee circular.","Production adds reliability diagrams, Brier score and ECE over the outcome ledger."
